species;longitude;latitude;source
Chrysopogon gryllus (L.) Trin.;8.74617871623131;46.180034895641;infoflora
Chrysopogon gryllus (L.) Trin.;8.88492652879441;45.9620811168397;infoflora
Chrysopogon gryllus (L.) Trin.;8.87929360485114;45.9603000418045;infoflora
Chrysopogon gryllus (L.) Trin.;8.75101454431971;46.2092725736829;infoflora
Chrysopogon gryllus (L.) Trin.;9.05226279457972;46.2287652496242;infoflora
Chrysopogon gryllus (L.) Trin.;8.64246371676125;46.1672792080202;infoflora
Chrysopogon gryllus (L.) Trin.;8.74402331787038;46.2176576518384;infoflora
Chrysopogon gryllus (L.) Trin.;8.54794389493396;46.3004869909268;infoflora
Chrysopogon gryllus (L.) Trin.;8.72696852863482;46.1892434840322;infoflora
Chrysopogon gryllus (L.) Trin.;8.88506933996836;45.9621152681045;infoflora
Chrysopogon gryllus (L.) Trin.;8.64229502671705;46.1672630130684;infoflora
Chrysopogon gryllus (L.) Trin.;9.00467110406927;46.0156395862759;infoflora
Chrysopogon gryllus (L.) Trin.;8.74595816110089;46.180559265799;infoflora
Chrysopogon gryllus (L.) Trin.;8.95851407085704;45.8929399161834;infoflora
Chrysopogon gryllus (L.) Trin.;8.75303998670707;46.1541252965463;infoflora
Chrysopogon gryllus (L.) Trin.;8.91346898022328;45.9240220610668;infoflora
Chrysopogon gryllus (L.) Trin.;8.94846427752478;45.9102417656411;infoflora
Chrysopogon gryllus (L.) Trin.;8.90603597468062;46.1824884278655;infoflora
Chrysopogon gryllus (L.) Trin.;8.98913536537942;46.0069743612693;infoflora
Chrysopogon gryllus (L.) Trin.;8.72462022370621;46.1879926974192;infoflora
Chrysopogon gryllus (L.) Trin.;8.72094456214835;46.1864780396906;infoflora
Chrysopogon gryllus (L.) Trin.;8.72704878459826;46.1893505303427;infoflora
Chrysopogon gryllus (L.) Trin.;8.74640013350825;46.1800863129307;infoflora
Chrysopogon gryllus (L.) Trin.;8.74548770743774;46.1798449634641;infoflora
Chrysopogon gryllus (L.) Trin.;8.72665856465598;46.189283006201;infoflora
Chrysopogon gryllus (L.) Trin.;8.99530519708176;46.0082657802453;infoflora
Chrysopogon gryllus (L.) Trin.;8.72689082501298;46.1892443702704;infoflora
Chrysopogon gryllus (L.) Trin.;8.88515485785063;45.9619342292457;infoflora
Chrysopogon gryllus (L.) Trin.;8.88495469950047;45.9621707240883;infoflora
Chrysopogon gryllus (L.) Trin.;8.99650950668293;46.080866167625;infoflora
Chrysopogon gryllus (L.) Trin.;8.74391991837871;46.2165882204557;infoflora
Chrysopogon gryllus (L.) Trin.;8.71620010065442;46.1885380871701;infoflora
Chrysopogon gryllus (L.) Trin.;9.01233693962551;46.2724259639469;infoflora
Chrysopogon gryllus (L.) Trin.;8.87862174653574;46.4042970559046;infoflora
Chrysopogon gryllus (L.) Trin.;8.68721713932239;46.2047054310231;infoflora
Chrysopogon gryllus (L.) Trin.;8.68781547550834;46.2042399837395;infoflora
Chrysopogon gryllus (L.) Trin.;9.04315400382796;46.2342214564518;infoflora
Chrysopogon gryllus (L.) Trin.;9.04115863732592;46.2342677590218;infoflora
Chrysopogon gryllus (L.) Trin.;9.05719552981905;46.2298463991235;infoflora
Chrysopogon gryllus (L.) Trin.;9.04174001901501;46.2346374099084;infoflora
Chrysopogon gryllus (L.) Trin.;9.04121711371628;46.2349327450316;infoflora
Chrysopogon gryllus (L.) Trin.;9.04075317062438;46.2345884194262;infoflora
Chrysopogon gryllus (L.) Trin.;9.05783508180902;46.2299901964734;infoflora
Chrysopogon gryllus (L.) Trin.;9.05635531544095;46.2299304089676;infoflora
Chrysopogon gryllus (L.) Trin.;9.05508090413175;46.2293638034567;infoflora
Chrysopogon gryllus (L.) Trin.;9.05301986303355;46.2293752673698;infoflora
Chrysopogon gryllus (L.) Trin.;9.04109411410164;46.2347185488471;infoflora
