taxa;x;y
Chrysopogon gryllus (L.) Trin.;2699999;1116114
Chrysopogon gryllus (L.) Trin.;2721741;1076415
Chrysopogon gryllus (L.) Trin.;2717062;1115540
Chrysopogon gryllus (L.) Trin.;2716978;1115542
Chrysopogon gryllus (L.) Trin.;2717345;1115526
Chrysopogon gryllus (L.) Trin.;2719303;1097262
Chrysopogon gryllus (L.) Trin.;2700973;1115130
Cleistogenes serotina (L.) Keng;2720330;1095858
Cleistogenes serotina (L.) Keng;2724852;1121026
Cleistogenes serotina (L.) Keng;2720718;1095972
Cleistogenes serotina (L.) Keng;2720780;1095993
Cleistogenes serotina (L.) Keng;2720757;1095980
Cleistogenes serotina (L.) Keng;2720806;1096004
Cleistogenes serotina (L.) Keng;2724482;1120982
Cleistogenes serotina (L.) Keng;2724484;1120906
Cleistogenes serotina (L.) Keng;2725031;1121370
Cleistogenes serotina (L.) Keng;2724393;1120847
Cleistogenes serotina (L.) Keng;2717362;1092654
Cleistogenes serotina (L.) Keng;2717225;1082118
Cleistogenes serotina (L.) Keng;2717249;1082151
Cleistogenes serotina (L.) Keng;2717226;1082119
Cleistogenes serotina (L.) Keng;2717229;1082170
Cleistogenes serotina (L.) Keng;2720819;1096019
Cleistogenes serotina (L.) Keng;2717224;1082120
Cleistogenes serotina (L.) Keng;2724039;1121073
Cleistogenes serotina (L.) Keng;2720739;1095976
Cleistogenes serotina (L.) Keng;2724709;1121046
Cleistogenes serotina (L.) Keng;2720737;1095978
Cleistogenes serotina (L.) Keng;2724860;1121106
Cleistogenes serotina (L.) Keng;2724750;1120962
Cleistogenes serotina (L.) Keng;2724794;1121110
Cleistogenes serotina (L.) Keng;2717215;1082138
Cleistogenes serotina (L.) Keng;2724271;1120993
Cleistogenes serotina (L.) Keng;2720803;1096004
Cleistogenes serotina (L.) Keng;2717252;1082146
Cleistogenes serotina (L.) Keng;2720798;1096012
Cleistogenes serotina (L.) Keng;2724265;1120992
Cleistogenes serotina (L.) Keng;2716927;1092831
Cleistogenes serotina (L.) Keng;2712033;1090903
Cleistogenes serotina (L.) Keng;2717239;1082144
Cleistogenes serotina (L.) Keng;2717248;1082148
Cleistogenes serotina (L.) Keng;2720796;1096013
Cleistogenes serotina (L.) Keng;2717222;1082165
Cleistogenes serotina (L.) Keng;2717240;1082150
Danthonia alpina Vest;2717275;1084678
Danthonia alpina Vest;2717142;1085689
Danthonia alpina Vest;2717146;1085675
Danthonia alpina Vest;2717223;1085522
Danthonia alpina Vest;2717139;1085695
Danthonia alpina Vest;2717139;1085694
Danthonia alpina Vest;2717144;1085697
Danthonia alpina Vest;2717140;1085691
Danthonia alpina Vest;2717145;1085674
Danthonia alpina Vest;2717223;1085522
Danthonia alpina Vest;2717214;1085510
Danthonia alpina Vest;2717199;1085502
Danthonia alpina Vest;2717158;1085500
Danthonia alpina Vest;2717123;1085502
Danthonia alpina Vest;2717114;1085501
Danthonia alpina Vest;2717151;1085678
Danthonia alpina Vest;2717145;1085674
Danthonia alpina Vest;2717114;1085630
Danthonia alpina Vest;2717120;1085639
Danthonia alpina Vest;2717153;1085681
Danthonia alpina Vest;2717223;1084805
Danthonia alpina Vest;2717415;1085415
Danthonia alpina Vest;2717168;1085367
Danthonia alpina Vest;2717217;1084791
Danthonia alpina Vest;2717084;1085412
Danthonia alpina Vest;2717274;1084677
Danthonia alpina Vest;2717204;1084830
Danthonia alpina Vest;2717219;1084795
Danthonia alpina Vest;2717156;1085416
Danthonia alpina Vest;2717604;1085252
Danthonia alpina Vest;2717600;1085241
Danthonia alpina Vest;2717629;1084949
Danthonia alpina Vest;2717390;1085526
Danthonia alpina Vest;2717557;1085180
Danthonia alpina Vest;2717136;1085537
Danthonia alpina Vest;2717191;1084847
Danthonia alpina Vest;2717289;1084700
Danthonia alpina Vest;2717173;1085351
Danthonia alpina Vest;2717664;1085022
Danthonia alpina Vest;2717063;1084908
Danthonia alpina Vest;2717087;1085279
Danthonia alpina Vest;2717087;1085277
Danthonia alpina Vest;2717087;1085283
Danthonia alpina Vest;2717083;1085264
Danthonia alpina Vest;2717095;1085266
Danthonia alpina Vest;2717071;1085278
Danthonia alpina Vest;2717095;1085252
Danthonia alpina Vest;2717178;1085364
Danthonia alpina Vest;2717186;1085368
Danthonia alpina Vest;2717176;1085357
Danthonia alpina Vest;2717214;1085468
Danthonia alpina Vest;2717143;1085499
Danthonia alpina Vest;2717128;1085516
Danthonia alpina Vest;2717143;1085495
Danthonia alpina Vest;2717122;1085562
Danthonia alpina Vest;2717096;1085263
Danthonia alpina Vest;2717613;1085179
Danthonia alpina Vest;2717225;1084799
Danthonia alpina Vest;2717356;1085235
Danthonia alpina Vest;2717350;1085225
Danthonia alpina Vest;2717625;1084991
Danthonia alpina Vest;2717595;1084995
Danthonia alpina Vest;2717381;1085588
Danthonia alpina Vest;2717382;1085592
Danthonia alpina Vest;2717380;1085591
Danthonia alpina Vest;2717379;1085591
Danthonia alpina Vest;2717376;1085592
Danthonia alpina Vest;2717354;1085607
Danthonia alpina Vest;2717382;1085586
Danthonia alpina Vest;2717203;1085718
Danthonia alpina Vest;2717659;1085035
Danthonia alpina Vest;2717596;1084985
Danthonia alpina Vest;2717594;1084989
Danthonia alpina Vest;2717590;1084991
Danthonia alpina Vest;2717593;1084992
Danthonia alpina Vest;2717610;1084999
Danthonia alpina Vest;2717603;1084995
Danthonia alpina Vest;2717608;1084982
Danthonia alpina Vest;2717101;1085661
Danthonia alpina Vest;2717516;1085243
Danthonia alpina Vest;2717514;1085247
Danthonia alpina Vest;2717523;1085253
Danthonia alpina Vest;2717526;1085250
Danthonia alpina Vest;2717626;1084986
Danthonia alpina Vest;2717188;1084847
Danthonia alpina Vest;2717196;1084849
Danthonia alpina Vest;2717191;1084834
Danthonia alpina Vest;2717625;1084988
Danthonia alpina Vest;2717206;1084835
Danthonia alpina Vest;2717619;1085184
Danthonia alpina Vest;2717208;1084822
Danthonia alpina Vest;2717203;1084829
Danthonia alpina Vest;2717230;1084781
Danthonia alpina Vest;2717216;1085486
Danthonia alpina Vest;2717337;1085394
